151700,351102
155799,354358
142857,352716
152726,349144
151008,349692
145865,351895
148629,350242
151083,353684
161316,348971
158758,352360
145731,350480
159597,355339
152294,345996
149801,349982
152260,350394
149352,342567
149607,353888
154711,359310
154456,349715
154482,351351
152123,348751
146182,350827
152268,349032
155155,350195
151546,355246
153272,347661
152299,348418
149040,349665
150929,349676
147510,354280
152809,356672
146373,346559
146620,347645
147440,351382
140689,347871
154549,356725
151028,355250
147613,351520
154333,352207
144588,348394
149677,352370
149236,353471
151009,350546
150989,356166
147265,351837
149905,349644
149479,351115
151985,353649
153457,349093
153508,350082
147269,357194
150245,348533
146161,352594
146479,352222
149978,354997
154847,352140
147566,342000
151174,347435
149287,351539
153533,351164
146556,355830
150103,354435
151747,351738
153480,350609
154883,345616
150272,355889
145283,349950
147653,344901
146643,351028
157433,351067
148053,348011
152366,351788
149392,347713
152810,346040
147581,344238
145566,348412
145502,347577
151544,351539
149439,345216
149380,349283
154488,345713
150922,355786
150626,349695
155021,354360
147456,351303
152203,353079
152641,346632
149229,353880
150682,354638
146313,343097
146370,349082
150332,347981
152284,350721
158176,348142
147891,350667
150592,351938
149739,350744
143887,349016
148612,345804
144325,349614
152658,348627
147192,345695
150317,349855
148278,349168
150960,350700
148102,352932
151549,351968
152338,354342
155413,348247
149386,347218
143238,349025
147345,354087
154284,354530
146610,349265
153039,348426
150392,345255
154543,352568
143799,349452
149375,346232
146180,348565
159196,345163
152610,351614
154361,349889
146654,354798
148518,345574
149138,352967
153474,350799
149121,350172
152218,352477
143512,353106
148881,346518
147396,353889
145013,345694
151606,346781
150892,347973
150106,352328
145783,346212
153565,351410
151107,351407
149054,350390
150072,351752
149171,346227
144465,352617
149097,350267
147371,352034
146903,346596
146343,349798
148313,352593
143667,352558
153049,350040
151645,344332
149937,346543
149890,350677
147476,352247
153221,351779
149579,348030
147740,356836
154273,350655
149289,352652
148137,348506
149071,346399
147319,351888
146458,352911
157988,356532
155235,348859
150973,344975
146025,354691
147263,350557
149442,346398
152503,348491
145788,347034
142632,352916
145418,351405
151055,350869
151238,350880
151428,347558
149588,353084
150581,351148
148494,349028
152726,349691
145694,349249
151439,347353
147316,352064
148941,354275
151748,357959
153286,351914
146466,347059
153987,351031
152088,347040
149785,348049
149383,347865
149312,347309
149041,351094
150073,346498
150162,352116
152612,352764
154829,353747
151477,350083
149337,351881
151977,355871
150579,350225
146744,349115
153002,355877
150971,342203
150427,348606
151629,357810
150827,348599
147023,347939
149487,346090
149538,352449
148318,343193
155319,348017
147231,351507
148470,349842
147748,351738
146287,350027
149392,352082
149133,345863
154839,351170
149213,344992
146635,352128
155071,349530
153904,352452
149274,348236
145237,350558
148594,353176
149507,343722
150873,344212
149174,344152
151402,352810
151239,351399
146045,347394
147002,354417
147656,350199
148394,344847
148986,346692
150039,345645
140421,352047
148555,347964
153929,346706
146627,347847
152953,347664
151108,352795
149908,351493
150577,351009
145051,350813
149733,350108
155072,347522
150311,351735
150131,347429
147678,346395
149903,346611
150735,352809
151348,353222
148821,344348
149252,349459
156399,351433
142858,347365
157050,353099
